"","X.x","X_STATE","n_heavy_drinkers","total_state","heavy_drinker_percent","high_chlo_percent","abbr","state","pop_2015","X.y","smoker_percent","X","percent"
"1",1,1,4,180,2.22222222222222,39.4444444444444,"AL","Alabama",4858979,1,11.4130434782609,1,4.58133150308854
"2",2,2,6,88,6.81818181818182,36.3636363636364,"AK","Alaska",738432,2,9.66576332429991,2,2.79158699808795
"3",3,4,11,161,6.83229813664596,36.6459627329193,"AZ","Arizona",6828065,3,8.47628657921292,3,3.07404891304348
"4",4,5,4,122,3.27868852459016,41.8032786885246,"AR","Arkansas",2978204,4,11.4995400183993,4,4.97946611909651
"5",5,6,25,285,8.7719298245614,28.4210526315789,"CA","California",39144818,5,6.99192044748291,5,2.83262811471556
"6",6,8,10,320,3.125,27.1875,"CO","Colorado",5456574,6,7.66341096919609,6,2.67942583732057
"7",7,9,13,257,5.05836575875486,42.0233463035019,"CT","Connecticut",3590886,7,8.11885821244736,7,3.60756709194897
"8",8,10,5,96,5.20833333333333,44.7916666666667,"DE","Delaware",945934,8,11.6591928251121,8,4.20361247947455
"9",9,11,6,72,8.33333333333333,34.7222222222222,"DC","District of Columbia",672228,9,8.23844608171467,9,4.01726427622842
"10",10,12,23,241,9.54356846473029,41.0788381742739,"FL","Florida",20271272,10,9.2567383610128,10,4.51586655817738
"11",11,13,4,98,4.08163265306122,41.8367346938776,"GA","Georgia",10214860,11,10.3248259860789,11,3.93177218849378
"12",12,15,8,161,4.96894409937888,30.4347826086957,"HI","Hawaii",1431603,12,7.479964381122,12,3.56458413185128
"13",13,16,8,136,5.88235294117647,36.7647058823529,"ID","Idaho",1654930,13,8.59570214892554,13,2.91171674819474
"14",14,17,7,118,5.93220338983051,36.4406779661017,"IL","Illinois",12859995,14,9.36490850376749,14,3.38900992495764
"15",15,18,6,137,4.37956204379562,37.956204379562,"IN","Indiana",6619680,15,10.965283657917,15,4.02436371546661
"16",16,19,12,148,8.10810810810811,42.5675675675676,"IA","Iowa",3123899,16,9.18918918918919,16,1.88879456706282
"17",17,20,24,589,4.07470288624788,40.2376910016978,"KS","Kansas",2911641,17,10.0159372318254,17,3.86517677230262
"18",18,21,10,192,5.20833333333333,41.1458333333333,"KY","Kentucky",4425092,18,15.6277181791824,18,3.96145610278373
"19",19,22,8,107,7.47663551401869,36.4485981308411,"LA","Louisiana",4670724,19,11.5231032515687,19,5.16246583662314
